date,year,month,day,time,season,time_period,borough,location_type,event_type,category,attendance,kids_friendly,senior_friendly,adults_only
2021-09-15,2021,Sep,15,17:00:00,Fall,Afternoon,Manhattan,Recreation Center,Community Based Event,Arts/Culture,7,TRUE,TRUE,FALSE
2021-09-16,2021,Sep,16,17:00:00,Fall,Afternoon,Manhattan,Recreation Center,Community Based Event,Arts/Culture,10,TRUE,TRUE,FALSE
2021-09-22,2021,Sep,22,17:00:00,Fall,Afternoon,Manhattan,Recreation Center,Community Based Event,Arts/Culture,10,TRUE,TRUE,FALSE
2021-09-24,2021,Sep,24,17:00:00,Fall,Afternoon,Manhattan,Recreation Center,Community Based Event,Mobile Unit,60,TRUE,TRUE,FALSE
2021-10-02,2021,Oct,2,18:30:00,Fall,Night,Manhattan,Recreation Center,Community Based Event,Arts/Culture,100,TRUE,TRUE,FALSE
2021-09-30,2021,Sep,30,17:00:00,Fall,Afternoon,Manhattan,Recreation Center,Community Based Event,Arts/Culture,13,TRUE,TRUE,FALSE
2021-10-06,2021,Oct,6,15:00:00,Fall,Afternoon,Bronx,Recreation Center,Community Based Event,Arts/Culture,22,TRUE,FALSE,FALSE
2021-10-01,2021,Oct,1,17:30:00,Fall,Afternoon,Manhattan,Recreation Center,Agency Produced Event,Arts/Culture,41,TRUE,TRUE,FALSE
2021-10-01,2021,Oct,1,18:00:00,Fall,Night,Manhattan,Recreation Center,Community Based Event,Arts/Culture,28,TRUE,TRUE,FALSE
2021-10-07,2021,Oct,7,17:00:00,Fall,Afternoon,Manhattan,Recreation Center,Community Based Event,Arts/Culture,11,TRUE,TRUE,FALSE
2021-10-08,2021,Oct,8,18:00:00,Fall,Night,Manhattan,Recreation Center,Community Based Event,Mobile Unit,88,TRUE,TRUE,FALSE
2021-10-13,2021,Oct,13,11:00:00,Fall,Morning,Bronx,Recreation Center,Community Based Event,Family Festival,30,TRUE,FALSE,FALSE
2021-10-13,2021,Oct,13,15:00:00,Fall,Afternoon,Bronx,Recreation Center,Community Based Event,Arts/Culture,19,TRUE,FALSE,FALSE
2021-10-14,2021,Oct,14,17:00:00,Fall,Afternoon,Manhattan,Recreation Center,Community Based Event,Arts/Culture,13,TRUE,TRUE,FALSE
2021-10-15,2021,Oct,15,18:30:00,Fall,Night,Manhattan,Recreation Center,Community Based Event,Mobile Unit,215,TRUE,TRUE,FALSE
2021-10-16,2021,Oct,16,00:00:00,Fall,Midnight,Manhattan,Recreation Center,Community Based Event,Fitness,25,TRUE,TRUE,FALSE
2021-10-16,2021,Oct,16,14:00:00,Fall,Afternoon,Manhattan,Recreation Center,Community Based Event,Performance,25,TRUE,TRUE,FALSE
2021-10-22,2021,Oct,22,17:00:00,Fall,Afternoon,Manhattan,Recreation Center,Community Based Event,Arts/Culture,48,TRUE,TRUE,FALSE
2021-10-22,2021,Oct,22,17:00:00,Fall,Afternoon,Manhattan,Recreation Center,Community Based Event,Fitness,3,TRUE,TRUE,FALSE
2021-10-22,2021,Oct,22,17:00:00,Fall,Afternoon,Manhattan,Recreation Center,Community Based Event,Family Festival,100,TRUE,TRUE,FALSE
